Reference	Value	C(F)	R(Ohms)	Object/Thermal Zone
T1	TLURC8	860	0.05	Cryo plate
T2	TLURC8	14.1	0.282	½ current source
T3	TLURC8	363.5	0.1735	½ box side
T4	TLURC8	30.7	1.152	Box-raft strap
T5	TLURC8	77	0.008	raft
T6	TLURC8	92.8	0.556	sensors
T7	TLURC8	1109	2.671	L3
T8	TLURC8	22.3	0.442	½ current source
T9	TLURC8	20.2	0.403	½  ASPIC
T10	TLURC8	45.9	0.915	½ ASPIC
T11	TLURC8	45.9	0.915	½ CABAC
T12	TLURC8	141	2.82	½ CABAC
T13	TLURC8	57.2	1.14	Center REB
T14	TLURC8	397	0.927	Cold bar section
T15	TLURC8	48.2	1.229	Cold bar section
T16	TLURC8	775	1.028	Cold bar section
T17	TLURC8	51.1	1.302	ADC
T18	TLURC8	129.39	0.259	Cold straps
T20	TLURC8	37.5	0.955	½ PREGs
T21	TLURC8	15.4	0.392	½ PREGs
T22	TLURC8	18	0.458	½ FPGA
T23	TLURC8	18	0.458	½ FPGA
T24	TLURC8	363.5	0.1735	½ box side
T25	TLURC8	7.7	0.01	Floating shroud
T26	TLURC8	430	0.1	Grid shroud
T27	TLURC8	395	0.1	Grid
T28	TLURC8	19	3.003	REB sensor end
T29	TLURC8	201	0.149	Cold bar section
